Year,City,State,daysAway,caseRate
2002,Crestview,AL,1.47533,9.77486
2002,Tampa,AL,3.44171,43.5743
2002,Middleburg,AL,5.72455,21.1471
2002,Jacksonville,AL,1.00023,42.8882
2002,Orlando,AL,3.64598,23.6969
2002,Riverside,AL,4.59017,8.97814
2002,Lancaster,AL,9.88827,21.1124
2002,Chandler,AL,2.57151,16.3493
2002,Providence,AL,10.722,0.742646
2002,Lincoln,AL,7.12478,9.31652
2002,Boise,AL,12.9017,15.4049
2002,Boulder,AL,9.63457,8.00625
2002,Fargo,AL,4.87711,21.6905
2002,Lubbock,AL,1.65086,2.22013
2002,Des Moines,AL,17.262,25.0771
2002,Waco,AL,0.488274,62.856
2002,Rochester,AL,2.06931,39.6406
2002,Lexington,AL,12.6852,5.05878
2002,Pittsburgh,AL,11.9803,23.2093
2002,Huntsville,AL,8.97729,12.8979
2002,Mesa,AL,0.797078,23.3199
2002,Irvine,AL,13.1093,35.3606
2002,Bismarck,AL,3.88248,32.9222
2002,Grand Forks,AL,9.56205,20.692
2002,Hattiesburg,AL,5.57649,17.4326
2002,Cedar Rapids,AL,5.57261,20.3699
2002,Lawrence,AL,7.0202,0.0921639
2002,Norman,AL,1.60296,36.1327
2002,Gillette,AL,14.935,23.1531
2002,Cheyenne,AL,5.78903,14.9556
2002,Rock Springs,AL,7.17945,24.1578
2002,Cody,AL,1.77415,2.80424
2002,Bend,AL,3.5457,22.106
2002,Salem,AL,6.86835,22.7522
2002,Eugene,AL,13.2609,4.75099
2002,Medford,AL,10.6947,3.1192
2002,Carlsbad,AL,10.0477,15.7936
2002,Flagstaff,AL,10.7037,3.8727
2002,El Paso,AL,3.45477,14.6239
2002,Amarillo,AL,10.3695,5.89544
2002,Laredo,AL,12.8773,25.5111
2002,Fort Worth,AL,7.7839,49.9086
2002,Helen,AL,1.7104,13.1967
2002,Charleston,AL,9.38964,35.9512
2002,Columbus,AL,4.78643,2.19002
2002,Athens,AL,1.96471,7.72503
2002,Pensacola,AL,5.22462,28.2966
2002,Mobile,AL,4.2025,7.9204
2002,Montgomery,AL,5.68565,35.3952
2002,Portland,AL,4.42636,29.8372
2002,Fayetteville,AL,22.914,14.3793
2002,Little Rock,AL,4.40696,17.6059
2002,Topeka,AL,15.5357,28.5729
2002,Butte,AL,9.88807,15.6879
2002,Pueblo,AL,4.67257,31.7601
2002,Casper,AL,2.4914,24.6053
2002,North Platte,AL,5.33382,22.9943
2002,Kearney,AL,12.4304,43.7824
2002,Grand Island,AL,8.98267,25.943
2002,Scottsbluff,AL,3.3825,3.12777
2002,Scranton,AL,5.21525,12.6717
2002,Tupelo,AL,8.67574,7.7006
2002,Biloxi,AL,3.92923,7.67189
2002,Gulfport,AL,12,37.7908
2002,Lafayette,AL,0.292728,22.5345
2002,New Iberia,AL,12.0002,2.15124
2002,Gonzales,AL,2.63702,23.6789
2002,Baton Rouge,AL,11.7651,33.5996
2002,Slidell,AL,1.86129,5.74338
2002,Hammond,AL,1.04303,29.3911
2002,Joplin,AL,4.47165,17.2161
2002,Cape Girardeau,AL,7.99651,17.0556
2002,Fieldsprings,AL,0.286228,39.5749
2002,Columbia,AL,4.97661,7.11546
2002,Champaign,AL,0.598736,12.1459
2002,Moline,AL,2.08689,13.1972
2002,Peoria,AL,2.12267,3.05691
2002,Davenport,AL,5.20649,10.3976
2002,Iowa City,AL,3.40407,8.94337
2002,Sarasota,AL,13.3015,21.9472
2002,Ft. Myers,AL,3.03425,11.1493
2002,St. Augustine,AL,1.58729,15.8033
2002,Gainesville,AL,9.57096,19.3241
2002,Ocala,AL,5.75544,0.351386
2002,Destin,AL,10.7252,16.8684
2002,Panama City,AL,9.92844,17.3969
2002,Tallahassee,AL,13.1838,39.4864
2002,Melbourne,AL,8.70658,0.152334
2002,Daytona Beach,AL,2.32793,12.0415
2002,Vero Beach,AL,4.46711,40.995
2002,Naples,AL,0.524432,13.0414
2002,Marco Island,AL,9.37274,22.067
2002,Palm Beach,AL,0.912044,13.2758
2002,Norfolk,AL,7.26045,9.69722
2002,Springfield,AL,3.45931,31.6317
2002,Wilmington,AL,1.29962,16.9815
2002,Daytona,AL,2.22345,26.9187
2002,New York City,AL,13.1017,0.0921965
2002,San Francisco,AL,1.61446,7.94766
2002,Lakemont,AL,2.71486,36.6428
2002,Crestview,AK,9.38296,1.08714
2002,Tampa,AK,1.45192,2.26186
2002,Middleburg,AK,12.4376,26.5006
2002,Jacksonville,AK,1.60508,12.683
2002,Orlando,AK,4.23789,24.0441
2002,Riverside,AK,15.2052,32.1787
2002,Lancaster,AK,10.557,29.077
2002,Chandler,AK,11.7712,14.2982
2002,Providence,AK,9.60963,13.7197
2002,Lincoln,AK,10.6703,6.70794
2002,Boise,AK,1.92501,21.5671
2002,Boulder,AK,1.87633,13.2613
2002,Fargo,AK,2.06152,15.9934
2002,Lubbock,AK,5.6544,24.4797
2002,Des Moines,AK,9.15065,15.3825
2002,Waco,AK,15.2654,0.654792
2002,Rochester,AK,4.22309,24.4074
2002,Lexington,AK,0.13575,25.0639
2002,Pittsburgh,AK,8.69403,19.0336
2002,Huntsville,AK,0.761682,12.6593
2002,Mesa,AK,6.19407,3.10765
2002,Irvine,AK,0.298473,20.9535
2002,Bismarck,AK,9.18294,1.69679
2002,Grand Forks,AK,5.55161,3.23482
2002,Hattiesburg,AK,0.442346,9.88417
2002,Cedar Rapids,AK,2.85372,8.87951
2002,Lawrence,AK,10.4247,11.3957
2002,Norman,AK,6.48022,31.1973
2002,Gillette,AK,2.50313,35.1697
2002,Cheyenne,AK,1.7089,25.8936
2002,Rock Springs,AK,0.859272,12.3603
2002,Cody,AK,11.8684,31.6336
2002,Bend,AK,2.66685,4.21822
2002,Salem,AK,14.7898,26.3613
2002,Eugene,AK,1.76717,12.2444
2002,Medford,AK,3.85116,28.7049
2002,Carlsbad,AK,19.0101,13.6723
2002,Flagstaff,AK,22.3479,12.7235
2002,El Paso,AK,2.94205,14.8362
2002,Amarillo,AK,20.4744,1.3626
2002,Laredo,AK,7.84661,1.50215
2002,Fort Worth,AK,6.8463,4.24572
2002,Helen,AK,2.83352,16.7973
2002,Charleston,AK,9.36518,25.7509
2002,Columbus,AK,6.83524,27.1067
2002,Athens,AK,1.64419,28.2261
2002,Pensacola,AK,7.29777,27.2619
2002,Mobile,AK,5.15438,19.3907
2002,Montgomery,AK,2.76532,18.2572
2002,Portland,AK,12.9021,5.53167
2002,Fayetteville,AK,8.19967,9.12007
2002,Little Rock,AK,7.41511,36.0814
2002,Topeka,AK,7.90864,16.2332
2002,Butte,AK,4.05114,13.0764
2002,Pueblo,AK,2.94046,4.10046
2002,Casper,AK,10.0547,29.2669
2002,North Platte,AK,8.70821,15.6317
2002,Kearney,AK,2.30012,35.2083
2002,Grand Island,AK,0.46245,11.8163
2002,Scottsbluff,AK,4.93635,11.0898
2002,Scranton,AK,5.94739,23.9352
2002,Tupelo,AK,9.10627,0.171988
2002,Biloxi,AK,0.620945,3.26805
2002,Gulfport,AK,5.5642,1.94845
2002,Lafayette,AK,2.91536,9.84525
2002,New Iberia,AK,4.37505,13.7099
2002,Gonzales,AK,16.8972,9.92069
2002,Baton Rouge,AK,14.2244,13.3297
2002,Slidell,AK,8.16746,3.48255
2002,Hammond,AK,5.72969,47.4721
2002,Joplin,AK,0.0174191,7.22919
2002,Cape Girardeau,AK,7.55898,5.20776
2002,Fieldsprings,AK,8.4662,23.5056
2002,Columbia,AK,10.6951,4.35617
2002,Champaign,AK,17.4782,4.61871
2002,Moline,AK,25.9449,7.34728
2002,Peoria,AK,0.821703,3.90763
2002,Davenport,AK,7.08887,13.6233
2002,Iowa City,AK,13.3478,17.6377
2002,Sarasota,AK,7.24204,12.8618
2002,Ft. Myers,AK,5.10177,15.8542
2002,St. Augustine,AK,1.58086,0.56828
2002,Gainesville,AK,4.07428,24.8553
2002,Ocala,AK,2.44276,29.7767
2002,Destin,AK,3.54356,4.55225
2002,Panama City,AK,3.02757,38.6233
2002,Tallahassee,AK,9.06533,19.5048
2002,Melbourne,AK,6.91066,31.8762
2002,Daytona Beach,AK,7.85854,19.1235
2002,Vero Beach,AK,0.852229,1.08794
2002,Naples,AK,8.78426,14.1183
2002,Marco Island,AK,10.7239,17.6529
2002,Palm Beach,AK,3.27078,2.60226
2002,Norfolk,AK,13.4815,5.72503
2002,Springfield,AK,2.1645,11.8826
2002,Wilmington,AK,11.9786,7.12186
2002,Daytona,AK,3.88484,6.95894
2002,New York City,AK,18.0912,20.8904
2002,San Francisco,AK,5.88104,18.0613
2002,Lakemont,AK,3.39211,29.9164
2002,Crestview,AZ,14.9775,11.2029
2002,Tampa,AZ,10.3306,9.57526
2002,Middleburg,AZ,8.26304,38.616
2002,Jacksonville,AZ,4.129,15.9911
2002,Orlando,AZ,15.5382,12.3556
2002,Riverside,AZ,3.85638,9.98455
2002,Lancaster,AZ,2.15375,11.4856
2002,Chandler,AZ,8.94412,33.6308
2002,Providence,AZ,3.51661,21.246
2002,Lincoln,AZ,2.35063,36.2492
2002,Boise,AZ,8.94054,25.5097
2002,Boulder,AZ,9.42047,19.9978
2002,Fargo,AZ,0.536836,6.16783
2002,Lubbock,AZ,2.91268,23.1093
2002,Des Moines,AZ,8.59879,40.6539
2002,Waco,AZ,2.44435,19.7881
2002,Rochester,AZ,1.60738,3.64935
2002,Lexington,AZ,2.13418,4.44242
2002,Pittsburgh,AZ,5.71562,18.0273
2002,Huntsville,AZ,7.68948,35.8811
2002,Mesa,AZ,3.96096,6.9867
2002,Irvine,AZ,9.4322,5.4646
2002,Bismarck,AZ,4.37283,26.4148
2002,Grand Forks,AZ,13.6825,18.6792
2002,Hattiesburg,AZ,9.93967,41.116
2002,Cedar Rapids,AZ,9.06987,2.25191
2002,Lawrence,AZ,4.08873,0.843248
2002,Norman,AZ,9.78547,17.2813
2002,Gillette,AZ,14.9176,12.5166
2002,Cheyenne,AZ,0.222542,1.53109
2002,Rock Springs,AZ,5.45137,8.93712
2002,Cody,AZ,16.9151,5.11863
2002,Bend,AZ,3.76374,9.67325
2002,Salem,AZ,0.301292,28.9832
2002,Eugene,AZ,9.13024,9.62653
2002,Medford,AZ,5.80683,8.23489
2002,Carlsbad,AZ,7.12126,23.6074
2002,Flagstaff,AZ,6.72616,7.553
2002,El Paso,AZ,5.19971,19.963
2002,Amarillo,AZ,6.1549,10.4775
2002,Laredo,AZ,10.9994,5.99577
2002,Fort Worth,AZ,3.8646,19.4792
2002,Helen,AZ,0.0271429,16.0566
2002,Charleston,AZ,0.622754,7.68835
2002,Columbus,AZ,0.734945,4.51716
2002,Athens,AZ,11.3712,21.8924
2002,Pensacola,AZ,4.45687,9.87258
2002,Mobile,AZ,4.39163,9.6395
2002,Montgomery,AZ,1.48929,19.44
2002,Portland,AZ,3.14696,27.2773
2002,Fayetteville,AZ,12.5917,8.92124
2002,Little Rock,AZ,7.44685,12.2712
2002,Topeka,AZ,3.46695,19.402
2002,Butte,AZ,5.18307,14.5448
2002,Pueblo,AZ,1.13203,8.88741
2002,Casper,AZ,4.95055,2.2628
2002,North Platte,AZ,0.0158891,15.4577
2002,Kearney,AZ,5.88801,9.08037
2002,Grand Island,AZ,0.0748963,25.2207
2002,Scottsbluff,AZ,11.9177,30.8493
2002,Scranton,AZ,4.22825,20.9572
2002,Tupelo,AZ,7.34285,11.0588
2002,Biloxi,AZ,2.54043,0.983851
2002,Gulfport,AZ,5.59674,21.4581
2002,Lafayette,AZ,4.23546,14.3085
2002,New Iberia,AZ,2.99056,32.5338
2002,Gonzales,AZ,2.31617,3.69885
2002,Baton Rouge,AZ,12.9613,36.1845
2002,Slidell,AZ,1.84167,15.1972
2002,Hammond,AZ,9.63925,9.59786
2002,Joplin,AZ,4.37597,48.0978
2002,Cape Girardeau,AZ,7.63317,47.6803
2002,Fieldsprings,AZ,3.86477,19.3166
2002,Columbia,AZ,11.1757,24.8737
2002,Champaign,AZ,4.05317,17.4791
2002,Moline,AZ,10.9437,4.2239
2002,Peoria,AZ,5.22286,25.0355
2002,Davenport,AZ,2.10062,10.6184
2002,Iowa City,AZ,2.93064,3.85105
2002,Sarasota,AZ,8.43383,10.4476
2002,Ft. Myers,AZ,7.47945,3.33944
2002,St. Augustine,AZ,6.18991,5.70218
2002,Gainesville,AZ,1.89677,42.282
2002,Ocala,AZ,12.6728,61.6164
2002,Destin,AZ,0.465318,26.0429
2002,Panama City,AZ,0.653084,31.3038
2002,Tallahassee,AZ,6.9777,19.5082
2002,Melbourne,AZ,11.7135,34.6056
2002,Daytona Beach,AZ,5.13606,17.0233
2002,Vero Beach,AZ,1.89666,1.09218
2002,Naples,AZ,20.7626,5.64657
2002,Marco Island,AZ,4.47977,26.5204
2002,Palm Beach,AZ,8.45577,5.35126
2002,Norfolk,AZ,17.3079,8.43886
2002,Springfield,AZ,10.8492,4.5507
2002,Wilmington,AZ,1.76444,38.3012
2002,Daytona,AZ,14.1577,2.53646
2002,New York City,AZ,4.50762,2.67816
2002,San Francisco,AZ,2.80188,34.1358
2002,Lakemont,AZ,3.495,7.9918
2002,Crestview,AR,14.765,3.46466
2002,Tampa,AR,7.69715,27.3128
2002,Middleburg,AR,3.13677,33.3327
2002,Jacksonville,AR,2.41711,13.8008
2002,Orlando,AR,11.0338,2.23652
2002,Riverside,AR,6.05157,11.813
2002,Lancaster,AR,7.8256,20.1957
2002,Chandler,AR,0.324272,21.0306
2002,Providence,AR,10.0045,18.5135
2002,Lincoln,AR,13.391,7.02085
2002,Boise,AR,3.81108,18.5081
2002,Boulder,AR,0.21649,3.01497
2002,Fargo,AR,1.94646,5.94088
2002,Lubbock,AR,1.70416,15.395
2002,Des Moines,AR,8.4304,30.9879
2002,Waco,AR,2.01984,14.4129
2002,Rochester,AR,8.93056,6.12507
2002,Lexington,AR,8.41949,10.6413
2002,Pittsburgh,AR,11.2926,9.09341
2002,Huntsville,AR,8.32489,23.0926
2002,Mesa,AR,1.68859,7.18003
2002,Irvine,AR,9.398,5.86104
2002,Bismarck,AR,9.12516,9.36451
2002,Grand Forks,AR,0.932214,37.9664
2002,Hattiesburg,AR,3.85533,18.243
2002,Cedar Rapids,AR,0.828622,11.0778
2002,Lawrence,AR,10.9354,1.21715
2002,Norman,AR,0.640552,3.6628
2002,Gillette,AR,1.60025,10.6543
2002,Cheyenne,AR,15.3174,17.8467
2002,Rock Springs,AR,2.11675,23.4354
2002,Cody,AR,8.3358,2.17247
2002,Bend,AR,1.12509,27.1536
2002,Salem,AR,1.24299,0.587996
2002,Eugene,AR,9.5355,19.9342
2002,Medford,AR,0.825499,27.187
2002,Carlsbad,AR,7.73305,40.4324
2002,Flagstaff,AR,1.71032,11.1456
2002,El Paso,AR,0.34861,24.7492
2002,Amarillo,AR,4.68103,19.8475
2002,Laredo,AR,0.546594,2.40864
2002,Fort Worth,AR,9.39281,49.737
2002,Helen,AR,9.97774,11.9902
2002,Charleston,AR,12.2166,4.36329
2002,Columbus,AR,8.91588,27.704
2002,Athens,AR,3.84645,15.5216
2002,Pensacola,AR,7.22818,1.79902
2002,Mobile,AR,13.6328,2.41162
2002,Montgomery,AR,7.10034,40.2767
2002,Portland,AR,3.63139,11.149
2002,Fayetteville,AR,0.242103,6.18906
2002,Little Rock,AR,6.96944,1.21173
2002,Topeka,AR,3.01818,23.8689
2002,Butte,AR,2.57251,13.2594
2002,Pueblo,AR,3.90541,21.3362
2002,Casper,AR,5.30323,40.1907
2002,North Platte,AR,7.8106,7.39837
2002,Kearney,AR,4.29357,35.8753
2002,Grand Island,AR,11.4369,0.387465
2002,Scottsbluff,AR,8.59317,30.8615
2002,Scranton,AR,15.9218,9.40382
2002,Tupelo,AR,9.93592,4.1736
2002,Biloxi,AR,11.6049,5.40591
2002,Gulfport,AR,9.17287,14.3365
2002,Lafayette,AR,1.61702,9.4223
2002,New Iberia,AR,3.92695,3.50089
2002,Gonzales,AR,12.5342,39.2594
2002,Baton Rouge,AR,13.1531,14.9423
2002,Slidell,AR,2.31003,16.0092
2002,Hammond,AR,8.95193,40.3344
2002,Joplin,AR,0.790718,24.5078
2002,Cape Girardeau,AR,6.87056,4.65865
2002,Fieldsprings,AR,6.13196,19.0862
2002,Columbia,AR,11.845,36.2279
2002,Champaign,AR,2.41081,28.4655
2002,Moline,AR,3.11853,3.61762
